,timestamp,new_customers
0,2019-09-02 07:02:00,2
1,2019-09-02 07:03:00,6
2,2019-09-02 07:04:00,0
3,2019-09-02 07:05:00,6
4,2019-09-02 07:06:00,2
5,2019-09-02 07:07:00,0
6,2019-09-02 07:08:00,0
7,2019-09-02 07:09:00,0
8,2019-09-02 07:10:00,1
9,2019-09-02 07:11:00,3
10,2019-09-02 07:12:00,2
11,2019-09-02 07:13:00,2
12,2019-09-02 07:14:00,0
13,2019-09-02 07:15:00,5
14,2019-09-02 07:16:00,5
15,2019-09-02 07:17:00,1
16,2019-09-02 07:18:00,0
17,2019-09-02 07:19:00,1
18,2019-09-02 07:20:00,0
19,2019-09-02 07:21:00,2
20,2019-09-02 07:22:00,0
21,2019-09-02 07:23:00,0
22,2019-09-02 07:24:00,0
23,2019-09-02 07:25:00,8
24,2019-09-02 07:26:00,3
25,2019-09-02 07:27:00,2
26,2019-09-02 07:28:00,2
27,2019-09-02 07:29:00,6
28,2019-09-02 07:30:00,0
29,2019-09-02 07:31:00,0
30,2019-09-02 07:32:00,3
31,2019-09-02 07:33:00,0
32,2019-09-02 07:34:00,0
33,2019-09-02 07:35:00,0
34,2019-09-02 07:36:00,0
35,2019-09-02 07:37:00,0
36,2019-09-02 07:38:00,1
37,2019-09-02 07:39:00,3
38,2019-09-02 07:40:00,0
39,2019-09-02 07:41:00,4
40,2019-09-02 07:42:00,5
41,2019-09-02 07:43:00,4
42,2019-09-02 07:44:00,0
43,2019-09-02 07:45:00,0
44,2019-09-02 07:46:00,4
45,2019-09-02 07:47:00,2
46,2019-09-02 07:48:00,5
47,2019-09-02 07:49:00,0
48,2019-09-02 07:50:00,0
49,2019-09-02 07:51:00,4
50,2019-09-02 07:52:00,2
51,2019-09-02 07:53:00,1
52,2019-09-02 07:54:00,0
53,2019-09-02 07:55:00,5
54,2019-09-02 07:56:00,0
55,2019-09-02 07:57:00,0
56,2019-09-02 07:58:00,0
57,2019-09-02 07:59:00,0
58,2019-09-02 08:00:00,0
